order_number,order_date,channel,warehouse_code,order_quantity,unit_price,revenue,cost,customer_names,product_name,state_code,state_name,lat,lon,region,budget
SO - 0002544,2017-01-01,Wholesale,NXH382,6,1239.5,7437.0,1028.7849999999999,NCS Group,Product 30,NJ,New Jersey,40.77955,-74.02375,Northeast,1011609.684
SO - 0006431,2017-01-01,Wholesale,NXH382,5,1829.1000000000001,9145.5,1207.2060000000001,Epic Group,Product 13,CO,Colorado,39.06387,-108.55065,West,3720639.645
SO - 0007491,2017-01-01,Wholesale,NXH382,9,2412.0,21708.0,1664.28,State Ltd,Product 15,CA,California,33.96168,-118.35313,West,3299478.315
SO - 0008741,2017-01-01,Wholesale,GUT930,8,904.5,7236.0,750.735,Fivebridge Ltd,Product 8,IA,Iowa,42.50056,-90.66457,Midwest,1085037.3290000001
SO - 0009295,2017-01-01,Wholesale,NXH382,12,1112.2,13346.400000000001,811.9060000000001,Tagfeed Ltd,Product 2,FL,Florida,28.47689,-82.52546,South,3050087.565
SO - 0009270,2017-01-01,Wholesale,AXW291,11,3865.9,42524.9,2087.5860000000002,Rhynoodle Ltd,Product 2,PA,Pennsylvania,42.12922,-80.08506,Northeast,3050087.565
SO - 0008849,2017-01-01,Wholesale,FLR025,9,187.6,1688.3999999999999,116.312,Twinte Group,Product 23,CA,California,36.67774,-121.6555,West,1135815.7580000001
SO - 0010564,2017-01-01,Distributor,NXH382,8,944.7,7557.6,651.843,Accord Group,Product 3,TX,Texas,32.56919,-97.12053,South,2642352.432
SO - 0008694,2017-01-01,Distributor,AXW291,5,1085.4,5427.0,672.9480000000001,Blogspan Ltd,Product 2,TN,Tennessee,35.84562,-86.39027,South,3050087.565
SO - 0009097,2017-01-01,Distributor,GUT930,10,174.20000000000002,1742.0000000000002,130.65,CLINIQUE Ltd,Product 9,CT,Connecticut,41.53815,-72.80704,Northeast,710415.405
SO - 0001333,2017-01-01,Wholesale,NXH382,6,1139.0,6834.0,489.77,Wordpedia Ltd,Product 11,CA,California,37.48522,-122.23635,West,1230458.484
SO - 0002930,2017-01-01,Distributor,NXH382,6,2512.5,15075.0,1582.875,Linklinks Ltd,Product 18,FL,Florida,26.82339,-80.13865,South,2309499.045
SO - 0003538,2017-01-01,Wholesale,AXW291,11,1051.9,11570.900000000001,831.0010000000001,Aimbo Corp,Product 4,MO,Missouri,38.78394,-90.48123,Midwest,2885560.824
SO - 0004653,2017-01-01,Wholesale,AXW291,9,1232.8,11095.199999999999,788.992,Pixoboo Corp,Product 1,WA,Washington,46.28569,-119.28446,West,3016489.209
SO - 0004702,2017-01-01,Distributor,NXH382,11,2519.2000000000003,27711.200000000004,1309.9840000000002,Kaymbo Company,Product 26,CA,California,37.87159,-122.27275,West,5685138.2700000005
SO - 0005293,2017-01-01,Wholesale,GUT930,10,1125.6000000000001,11256.000000000002,540.288,Liberty Group,Product 3,OK,Oklahoma,35.22257,-97.43948,South,2642352.432
SO - 0005571,2017-01-01,Wholesale,NXH382,9,1112.2,10009.800000000001,556.1,Chatterbri Ltd,Product 26,CA,California,35.37329,-119.01871,West,5685138.2700000005
